Id_detail_redevance	Id_reconnaissance	Cens en poule	Cens en froment (en Meytencus)	Cens en seigle (en cartalis)	Cens en seigle (en setier)	Cens en seigle (en emine)	Cense en seigle (en Meytencus, Mesure de Tence)	Cens en seigle (cartayronis)	Cens en seigle (Carteria)	Total Seigle	Cens en Tonem (vetement)	Cens en avoine (en setier)	Cens en avoine (en emine)	Cens en avoine (en Meytencus, mesure de Tence)	Cens en avoine (cartayronis)	Cens en avoine (en cartalis)	Cens en avoine (en carteria)	Total Avoine	Cens en castanearium (carteria)	Cens en uncleorum (carta)	Potne	Monaie (sous)	Monaie (pogesa)	Monaie (obole)	Picte	Total monnaie	Monaie (sous) Viennois	Libres Saeorum sive Casi Boni et campetenti	Pro	Nom	Lieu	Supplement
1	142	0	0	0	0	0	0,5	0	0	2,4375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bayliagio			
2	142	0	0	0	0	0	0,5	0	0	2,4375	0	0	0	1	0	0	0	4,875	0	0	0	0,333333333333333	0	0	0	0,333333333333333	0	0	Terra et pasturalia		Maysonetis	
3	151	0	0	0	0	0	0,5	0	0	2,4375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Baylhagio			
4	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,25	0	0	0	0,25	0	0	Prato			
5	151	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,41666666666667	0	0	0	2,41666666666667	0	0	Possessiones			
6	151	0	0	0	0	0	0,5	0	0	2,4375	0	0	0	0,5	0	0	0	2,4375	0	0	0	0,916666666666667	0	0,333333333333333	0	0,930555555555555	0	0	Possessiones		In comitate de Maisonetis	Nova censa
7	162	0,5	0	0	0	0	1,5	0	0	7,3125	0	0	0	1,5	3	0	0	14,625	0	0	0	4,5	0	0	0	4,5	0	0	Possessiones eius uxoris			
8	181	0	0	0	0	0	0,333333333333333	1	0	4,0625	0	0	0	0,50	0,5	0	0	3,65625	0	0	0	2,75	1	0	0	2,77083333333333	0	0	Possessiones liberorum suorum			
9	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,166666666666667	0	0	0	0,166666666666667	0	0	Petia	De Calma		
10	211	0	0	0	0	0	1	0	0	4,875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Baylhagio			
11	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,166666666666667	1,5	0	0	0,197916666666667	0	0	Calmis		In comitate	
12	211	1,5	0	0	0	0	0,50	1	0	4,875	0	0	0	3,5	0	0	0	17,0625	0	0	0	7,58333333333333	0	0	0	7,58333333333333	0	0	Possessiones nepos uxor eius filii		Chalmariais	
13	221	0,5	0	0	0	0	3	0	0	14,625	0	0	0	0	0	1	0	9,75	0	0	0	3,83333333333333	0	0	0	3,83333333333333	0	0	Possessiones eius uxoris			
14	221	0	0	0	0	0	1	0	0	4,875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Baylhagio eius uxoris			
15	271	0	0	1	4	0	0,5	0	0	168,1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bayliagio			
16	271	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	80,4375	0	0	0	0	0	0	0	0	0	0	Nemore	De Sancto Anthonio		
17	281	0	0	0	0	0	0,5	0	0	2,4375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bayliagio			
18	291	0	0	0	8	0	1	0	0	316,875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bayliagio			
19	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0,5	0	0	Prato			
20	301	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4,875	0	0	0	0,33	0	0	0	0,333333333333333	0	0	Parte sue 		Teritorii Dens Clotz	
21	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,5	0	0	0,0729166666666667	0	0	Parte calme	Calma vocate Dens Bayilh	Territorio de Maysonetis	
22	311	0	0	0	0	0	0,333333333333333	0	0	1,625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bayliagio			
23	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,16666666666667	0,0243055555555556	0	0	Calma			
